scenario,s,S,average_daily_cost,average_fixed_order_cost,average_unit_order_cost,average_holding_cost,average_shortage_cost,stockout_rate,fill_rate,average_ending_inventory,average_order_quantity,order_frequency
baseline_mixed,3,17,20.5389614695,6.0768260751,6.2134973389,8.0626274110,0.1860106445,0.0180884292,0.9925714599,8.0626274110,3.1067486694,0.2025608692
baseline_mixed,3,18,20.6624676473,5.7070214817,6.2162238335,8.5641176660,0.1751046662,0.0170196919,0.9930070021,8.5641176660,3.1081119167,0.1902340494
baseline_mixed,0,22,20.6800895451,4.0036331703,5.8719953164,9.2524423241,1.5520187343,0.0929503431,0.9380184212,9.2524423241,2.9359976582,0.1334544390
baseline_mixed,3,13,20.6983025252,8.1982658783,6.1965558635,6.0497042373,0.2537765461,0.0246503305,0.9898651539,6.0497042373,3.0982779317,0.2732755293
baseline_mixed,1,22,20.7375447063,4.1819381493,6.0488912785,9.6622803925,0.8444348861,0.0592345361,0.9662765621,9.6622803925,3.0244456392,0.1393979383
baseline_mixed,2,21,20.7596075321,4.5908648014,6.1583100888,9.6036729969,0.4067596450,0.0332440449,0.9837556052,9.6036729969,3.0791550444,0.1530288267
baseline_mixed,0,9,20.7946112549,8.9932386981,5.3959432188,2.9492022133,3.4562271247,0.2076546323,0.8619717602,2.9492022133,2.6979716094,0.2997746233
baseline_mixed,3,19,20.8293552124,5.3798263945,6.2187155138,9.0656753594,0.1651379446,0.0160556812,0.9934050342,9.0656753594,3.1093577569,0.1793275465
baseline_mixed,1,9,20.9430638012,9.9437288640,5.7654274238,3.2556172085,1.9782903050,0.1397655241,0.9209947961,3.2556172085,2.8827137119,0.3314576288
baseline_mixed,0,23,20.9623966138,3.8399149760,5.8878696299,9.7460905274,1.4885214805,0.0891482248,0.9405542540,9.7460905274,2.9439348149,0.1279971659
baseline_mixed,2,10,20.9647051327,9.9437288640,6.0449584719,4.1158516845,0.8601661123,0.0707487926,0.9656483182,4.1158516845,3.0224792360,0.3314576288
baseline_mixed,3,12,21.0079024353,8.9932386981,6.1921457387,5.5511009534,0.2714170451,0.0262801790,0.9891606611,5.5511009534,3.0960728694,0.2997746233
baseline_mixed,1,23,21.0294371436,4.0036331703,6.0578960026,10.1594919810,0.8084159897,0.0567086319,0.9677150164,10.1594919810,3.0289480013,0.1334544390
baseline_mixed,2,22,21.0311120166,4.3768840196,6.1630491700,10.1033755070,0.3878033198,0.0316953226,0.9845126470,10.1033755070,3.0815245850,0.1458961340
baseline_mixed,3,20,21.0329109312,5.0883791313,6.2209863250,9.5674907749,0.1560547000,0.0151729094,0.9937677835,9.5674907749,3.1104931625,0.1696126377
baseline_mixed,0,24,21.2618137941,3.6890561094,5.9024897750,10.2402270096,1.4300409002,0.0856454280,0.9428897404,10.2402270096,2.9512448875,0.1229685370
baseline_mixed,3,21,21.2669872735,4.8268733548,6.2229976709,10.0691069313,0.1480093166,0.0143897449,0.9940890848,10.0691069313,3.1114988354,0.1608957785
baseline_mixed,4,16,21.3104448569,6.9792498066,6.2481339227,8.0355968183,0.0474643094,0.0059330387,0.9981044605,8.0355968183,3.1240669613,0.2326416602
baseline_mixed,2,23,21.3229029536,4.1819381493,6.1673603507,10.6030458564,0.3705585972,0.0302859302,0.9852013340,10.6030458564,3.0836801753,0.1393979383
baseline_mixed,4,17,21.3288084820,6.4960573682,6.2489227650,8.5395194088,0.0443089400,0.0055386175,0.9982304736,8.5395194088,3.1244613825,0.2165352456
baseline_mixed,1,24,21.3383590401,3.8399149760,6.0661660795,10.6569423026,0.7753356820,0.0543882009,0.9690361149,10.6569423026,3.0330830398,0.1279971659
baseline_mixed,4,15,21.3664688027,7.5383136359,6.2471201593,7.5295156447,0.0515193629,0.0064399204,0.9979425175,7.5295156447,3.1235600796,0.2512771212
baseline_mixed,4,18,21.4123424651,6.0768260751,6.2496741973,9.0445389817,0.0413032109,0.0051629014,0.9983505107,9.0445389817,3.1248370986,0.2025608692
